RXN,log2FC
ACCOAC,0.180778516373316
ACKr,0.222487313439566
ACOATA,-0.232392283186584
ENO,0.19035470160908
FBA,0.69254646381721
G6PDHy,0.158143682309786
GALU,0.0193567089125037
GAPD,0.299369246580307
GLCpts,-0.14637481857185
LDH_L,-0.0282707740842544
MACPMT,0.14563230784794
PDH,-0.0562675123541751
PFK,-0.420200351533064
PFL,-0.25271039130903
PGDH,-0.195624335940705
PGI,-0.148626893148356
PGK,-0.251604348705979
PGL,-0.0354125208568903
PGM,0.146946249998877
PGMT,-0.292078009721477
PTAr,-0.206606929195934
PYK,-0.193306915716647
UDPG4E,-0.216631986643597
