epoch,RMSE_train,R2_train,RMSE_test,R2_test,RMSE_dev,R2_dev
1,1.451413,0.105951,1.375543,0.179349,1.429289,0.20352
2,1.340255,0.237651,1.371358,0.184336,1.392442,0.244056
3,1.305506,0.276669,1.363019,0.194225,1.374855,0.263032
4,1.291474,0.292135,1.339245,0.222089,1.364123,0.274493
5,1.275101,0.30997,1.339941,0.22128,1.363845,0.274788
6,1.244722,0.342458,1.323444,0.240337,1.32043,0.320224
7,1.181325,0.407733,1.253522,0.318487,1.256678,0.38428
8,1.123268,0.464517,1.266963,0.303794,1.278481,0.36273
9,1.105476,0.481346,1.210881,0.364065,1.240921,0.399624
10,1.093307,0.492702,1.316535,0.248248,1.35136,0.288005
11,1.064553,0.519034,1.184452,0.391523,1.218574,0.421053
12,0.99693,0.578198,1.149149,0.427253,1.188888,0.448918
13,0.968314,0.602066,1.129363,0.446806,1.17406,0.462578
14,0.95188,0.615459,1.160641,0.415741,1.194123,0.444053
15,0.940125,0.624897,1.138875,0.437449,1.157284,0.477826
16,0.914612,0.64498,1.157285,0.419114,1.159242,0.476058
17,0.899389,0.656699,1.110756,0.464885,1.134451,0.498228
18,0.878238,0.672656,1.105953,0.469503,1.128863,0.503159
19,0.8606,0.685673,1.100756,0.474476,1.13314,0.499388
20,0.852493,0.691567,1.096369,0.478657,1.13347,0.499095
21,0.821873,0.713326,1.087976,0.486609,1.124287,0.507179
22,0.810941,0.720901,1.085009,0.489405,1.112313,0.51762
23,0.800161,0.728272,1.079337,0.494729,1.105075,0.523878
24,0.797598,0.730011,1.094657,0.480284,1.124664,0.506849
25,0.791841,0.733894,1.103663,0.471697,1.11702,0.513529
26,0.782009,0.740461,1.080598,0.493548,1.103552,0.525189
27,0.77254,0.746708,1.076969,0.496944,1.104439,0.524426
28,0.765714,0.751165,1.079172,0.494884,1.095643,0.53197
29,0.760731,0.754393,1.061038,0.511717,1.093372,0.533909
30,0.753948,0.758753,1.087198,0.487343,1.093586,0.533727
