epoch,RMSE_train,R2_train,RMSE_test,R2_test,RMSE_dev,R2_dev
1,1.456963,0.104618,1.374409,0.180702,1.387849,0.206269
2,1.349394,0.231951,1.366474,0.190135,1.37341,0.222698
3,1.3106,0.275477,1.367574,0.18883,1.368121,0.228674
4,1.290006,0.298067,1.344667,0.215778,1.324006,0.277614
5,1.271357,0.318217,1.326959,0.236297,1.335878,0.264601
6,1.263338,0.326789,1.333925,0.228256,1.351077,0.247772
7,1.2532,0.337551,1.311588,0.253886,1.299492,0.304117
8,1.242088,0.349247,1.329162,0.233758,1.327614,0.273672
9,1.233331,0.35839,1.330141,0.232629,1.315588,0.286771
10,1.231081,0.360729,1.300784,0.266128,1.294398,0.309561
11,1.208582,0.383882,1.319535,0.244817,1.301374,0.302099
12,1.204755,0.387778,1.29446,0.273247,1.293866,0.310129
13,1.203241,0.389315,1.304342,0.262108,1.28284,0.321837
14,1.199046,0.393566,1.307754,0.258242,1.293864,0.310131
15,1.199777,0.392826,1.309491,0.256271,1.290721,0.313479
16,1.199385,0.393223,1.322409,0.241525,1.306271,0.296837
17,1.196598,0.39604,1.313677,0.251508,1.29803,0.305682
18,1.193812,0.398849,1.284573,0.284306,1.283658,0.320972
19,1.128528,0.4628,1.154714,0.421693,1.170481,0.43543
20,1.018395,0.562534,1.124328,0.451728,1.133759,0.470299
21,0.934621,0.631546,1.135283,0.440992,1.141015,0.463497
22,0.903803,0.655444,1.0913,0.483467,1.097902,0.503275
23,0.874789,0.677212,1.094688,0.480255,1.09968,0.501665
24,0.854347,0.692121,1.118626,0.457275,1.098689,0.502563
25,0.837883,0.703872,1.091423,0.48335,1.100394,0.501017
26,0.824633,0.713165,1.089759,0.484925,1.100065,0.501316
27,0.811497,0.72223,1.078069,0.495916,1.104995,0.496836
28,0.793685,0.73429,1.077425,0.496518,1.075701,0.52316
29,0.787573,0.738367,1.060819,0.511918,1.085475,0.514455
30,0.776529,0.745653,1.102152,0.473143,1.094461,0.506384
