epoch,RMSE_train,R2_train,RMSE_test,R2_test,RMSE_dev,R2_dev
1,1.46707,0.092504,1.417575,0.128431,1.425164,0.162566
2,1.362313,0.217477,1.391869,0.159754,1.399232,0.192764
3,1.319074,0.266362,1.37702,0.177586,1.372125,0.223738
4,1.291735,0.296458,1.334313,0.227808,1.346932,0.251982
5,1.275036,0.314531,1.330901,0.231752,1.343447,0.255847
6,1.262412,0.328037,1.341016,0.22003,1.360273,0.23709
7,1.258908,0.331762,1.332716,0.229655,1.350559,0.247948
8,1.255252,0.335638,1.327096,0.236139,1.338846,0.260936
9,1.24254,0.349025,1.34626,0.213918,1.362408,0.234694
10,1.233611,0.358348,1.334678,0.227386,1.350504,0.248009
11,1.211607,0.381034,1.328852,0.234115,1.337371,0.262563
12,1.206484,0.386257,1.319199,0.245203,1.335146,0.265015
13,1.202161,0.390647,1.328861,0.234105,1.34224,0.257184
14,1.201179,0.391643,1.32345,0.24033,1.340066,0.259589
15,1.199028,0.39382,1.317687,0.246931,1.334467,0.265762
16,1.199156,0.393691,1.33009,0.232688,1.351702,0.246674
17,1.194481,0.398409,1.323938,0.23977,1.332942,0.26744
18,1.195244,0.397639,1.331688,0.230843,1.347639,0.251196
19,1.192504,0.400399,1.324113,0.239569,1.339394,0.26033
20,1.191047,0.401863,1.328856,0.234112,1.34502,0.254104
21,1.181445,0.411467,1.329315,0.233581,1.343937,0.255304
22,1.180283,0.412625,1.310695,0.254902,1.329179,0.27157
23,1.177812,0.415082,1.324131,0.239548,1.340369,0.259253
24,1.178295,0.414602,1.324821,0.238755,1.346507,0.252453
25,1.17809,0.414805,1.321431,0.242646,1.339609,0.260093
26,1.176913,0.415974,1.318052,0.246515,1.33776,0.262134
27,1.176102,0.416779,1.321859,0.242155,1.340348,0.259277
28,1.175039,0.417833,1.325097,0.238438,1.34413,0.255091
29,1.175731,0.417146,1.305227,0.261106,1.331782,0.268714
30,1.175789,0.41709,1.316178,0.248655,1.340112,0.259537
