epoch,RMSE_train,R2_train,RMSE_test,R2_test,RMSE_dev,R2_dev
1,1.412911,0.168976,1.310318,0.266982,1.3298,0.276834
2,1.309759,0.285888,1.318303,0.25802,1.346683,0.258354
3,1.275341,0.322926,1.27144,0.309834,1.307893,0.300464
4,1.259326,0.339823,1.275617,0.305292,1.307269,0.301131
5,1.237271,0.362744,1.278577,0.302064,1.299936,0.30895
6,1.225094,0.375226,1.246978,0.336136,1.275448,0.334741
7,1.211909,0.388602,1.252104,0.330667,1.288424,0.321136
8,1.200752,0.399808,1.253116,0.329585,1.285693,0.32401
9,1.189062,0.411437,1.236673,0.347062,1.264604,0.346005
10,1.182645,0.417773,1.245399,0.337816,1.278261,0.331802
11,1.159452,0.440385,1.231817,0.35218,1.258478,0.352326
12,1.149245,0.450195,1.219712,0.36485,1.263146,0.347512
13,1.143476,0.455701,1.232873,0.351069,1.27794,0.332138
14,1.13669,0.462142,1.223746,0.360642,1.25479,0.356116
15,1.130641,0.467851,1.200693,0.384503,1.23595,0.375306
16,1.126466,0.471773,1.226421,0.357844,1.274549,0.335678
17,1.121681,0.476252,1.214625,0.370138,1.257385,0.35345
18,1.115871,0.481664,1.193479,0.391877,1.23273,0.378557
19,1.109722,0.487361,1.204972,0.380109,1.244258,0.36688
20,1.107018,0.489856,1.20774,0.377258,1.233104,0.37818
21,1.083524,0.511279,1.194895,0.390433,1.224349,0.386978
22,1.074232,0.519625,1.194332,0.391008,1.232458,0.378831
23,1.06646,0.526551,1.178609,0.406936,1.210081,0.401183
24,1.059377,0.532819,1.188218,0.397226,1.213391,0.397902
25,1.055621,0.536126,1.169988,0.41558,1.202372,0.408788
26,1.046013,0.544532,1.177221,0.408333,1.207125,0.404104
27,1.039173,0.550469,1.163265,0.422278,1.197086,0.413974
28,1.023022,0.564334,1.151792,0.433617,1.176721,0.433744
29,1.00015,0.583597,1.130691,0.45418,1.169951,0.440241
30,0.971036,0.607486,1.098313,0.484992,1.129724,0.478072
31,0.91568,0.650963,1.094701,0.488374,1.136474,0.471817
32,0.886443,0.672896,1.078122,0.503754,1.113606,0.492859
33,0.86713,0.686994,1.078563,0.503347,1.107703,0.498221
34,0.844972,0.702787,1.064137,0.516544,1.089641,0.514451
35,0.826501,0.715638,1.047309,0.531714,1.071488,0.530495
36,0.806137,0.729479,1.06432,0.516378,1.082982,0.520368
37,0.792266,0.738708,1.055013,0.524799,1.07029,0.531544
38,0.776992,0.748686,1.050755,0.528628,1.071634,0.530367
39,0.763036,0.757633,1.039961,0.538262,1.046717,0.551952
40,0.749632,0.766073,1.041597,0.536808,1.051786,0.547602
